Date,Open,High,Low,Close,Volume,Adj Close
1988-10-06,255.990005,256.339996,255.339996,256.149994,307120000,128.074997
1988-10-05,255.300003,256.589996,254.369995,256.00,350260000,128.00
1988-10-04,256.410004,256.670013,255.050003,255.289993,315520000,127.644997
1988-10-03,256.940002,256.940002,254.050003,256.51001,260760000,128.255005
1988-09-30,257.709991,259.809998,256.600006,256.929993,351500000,128.464996
1988-09-29,254.259995,258.200012,254.240005,257.820007,311580000,128.910004
1988-09-28,253.619995,254.419998,253.169998,254.240005,227440000,127.120003
1988-09-27,254.289993,254.690002,253.179993,253.679993,226020000,126.839996
1988-09-26,255.179993,255.259995,253.850006,254.279999,232840000,127.139999
1988-09-23,253.860001,255.690002,253.149994,255.259995,290200000,127.629997
1988-09-22,255.330002,255.660004,253.149994,253.889999,301340000,126.945
1988-09-21,255.210007,255.899994,254.729996,255.320007,254800000,127.660004
1988-09-20,254.350006,255.759995,254.190002,255.169998,284440000,127.584999
1988-09-19,256.869995,256.929993,253.190002,254.440002,271540000,127.220001
1988-09-16,254.190002,257.480011,253.490005,256.929993,422220000,128.464996
1988-09-15,255.419998,256.029999,254.029999,254.210007,322420000,127.105003
1988-09-14,253.589996,255.850006,253.470001,255.529999,354440000,127.764999
1988-09-13,252.970001,253.580002,251.789993,253.580002,324980000,126.790001
1988-09-12,253.089996,254.300003,252.740005,253.059998,229760000,126.529999
1988-09-09,251.809998,254.770004,249.690002,253.059998,283080000,126.529999
1988-09-08,251.850006,252.830002,250.919998,251.830002,298760000,125.915001
1988-09-07,252.179993,253.360001,251.070007,251.850006,279180000,125.925003
1988-09-06,251.059998,252.429993,250.910004,252.119995,244500000,126.059998
1988-09-02,245.059998,251.710007,245.059998,251.240005,319680000,125.620003
1988-09-01,248.139999,248.139999,243.899994,245.059998,288180000,122.529999
1988-08-31,249.550003,250.919998,248.050003,248.139999,260960000,124.07
1988-08-30,249.589996,250.389999,248.669998,249.550003,217440000,124.775002
1988-08-29,246.949997,249.960007,246.949997,249.589996,198560000,124.794998
1988-08-26,246.130005,247.300003,245.699997,246.949997,178480000,123.474998
1988-08-25,247.830002,247.830002,244.529999,246.130005,255280000,123.065002
1988-08-24,243.580002,247.830002,243.559998,247.830002,255600000,123.915001
1988-08-23,243.130005,244.389999,242.889999,243.600006,239080000,121.800003
1988-08-22,245.740005,246.949997,243.110001,243.119995,244500000,121.559998
1988-08-19,248.350006,249.669998,245.740005,245.740005,244740000,122.870003
1988-08-18,248.679993,250.360001,248.289993,248.339996,279640000,124.169998
1988-08-17,247.940002,249.630005,246.529999,248.679993,339000000,124.339996
1988-08-16,246.820007,250.720001,245.660004,247.949997,325580000,123.974998
1988-08-15,250.690002,250.690002,246.839996,246.850006,257120000,123.425003
1988-08-12,250.850006,251.240005,249.449997,250.690002,353920000,125.345001
1988-08-11,249.949997,251.00,248.419998,250.929993,346000000,125.464996
1988-08-10,254.289993,254.300003,249.169998,249.910004,401900000,124.955002
1988-08-09,257.679993,257.869995,252.880005,254.300003,401420000,127.150002
1988-08-08,258.670013,260.329987,257.559998,257.660004,297600000,128.830002
1988-08-05,259.130005,259.480011,257.660004,258.670013,226800000,129.335007
1988-08-04,261.100006,262.130005,259.329987,259.480011,314480000,129.740005
1988-08-03,260.339996,261.549988,259.399994,261.089996,407180000,130.544998
1988-08-02,260.720001,262.420013,258.959991,260.369995,333320000,130.184998
1988-08-01,260.529999,261.269989,259.769989,260.709991,276340000,130.354996
1988-07-29,254.979996,260.529999,254.929993,260.480011,384680000,130.240005
1988-07-28,250.960007,255.589996,250.960007,254.929993,309140000,127.464996
1988-07-27,253.729996,254.50,250.929993,250.970001,271780000,125.485001
1988-07-26,253.220001,254.679993,252.830002,253.729996,243920000,126.864998
1988-07-25,251.190002,253.539993,250.839996,253.210007,430280000,126.605003
1988-07-22,254.229996,254.300003,250.860001,251.199997,297760000,125.599998
1988-07-21,257.609985,257.730011,254.259995,254.259995,298920000,127.129997
1988-07-20,256.549988,258.089996,256.359985,257.730011,303980000,128.865005
1988-07-19,258.559998,259.549988,254.929993,256.529999,288220000,128.264999
1988-07-18,260.220001,260.220001,256.809998,258.549988,312420000,129.274994
1988-07-15,257.51001,260.410004,256.959991,260.23999,399420000,130.119995
1988-07-14,256.299988,258.100006,255.630005,257.540009,344820000,128.770004
1988-07-13,255.479996,256.809998,253.149994,256.380005,437860000,128.190002
1988-07-12,258.420013,258.48999,254.639999,255.470001,323300000,127.735001
1988-07-11,257.850006,259.369995,257.720001,258.399994,246600000,129.199997
1988-07-08,259.970001,260.51001,257.570007,257.809998,272140000,128.904999
1988-07-07,259.839996,260.23999,257.26001,259.980011,312200000,129.990005
1988-07-06,263.920013,264.459991,257.609985,259.839996,379260000,129.919998
1988-07-05,259.839996,263.940002,258.640015,263.920013,343580000,131.960007
1988-07-01,261.640015,261.920013,258.730011,259.929993,476660000,129.964996
